"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1005","Create user","chromium","2026-01-06","passed","2026-01-06","","Apitest.spec.js","",""
"","3475","Add product to cart and verify","firefox","2026-01-22","passed","2026-01-22","","Pomtest.spec.js","",""
"","6260","Add product to cart and verify","chromium","2026-01-22","passed","2026-01-22","","Pomtest.spec.js","",""
"","21675","test","chromium","2026-01-19","passed","2026-01-19","","Pomtest.spec.js","",""
"","1085","Update user with PUT","chromium","2026-01-06","passed","2026-01-06","","Apitest.spec.js","",""
"","516","create User","chromium","2025-12-31","failed","2025-12-31","","Apitest.spec.js","",""
"","12283","Locators","chromium","2025-12-30","failed","2025-12-30","","Locators.spec.js","",""
"","667","Get users","firefox","2025-12-31","failed","2025-12-31","","Apitest.spec.js","",""
"","517","Get users","chromium","2026-01-07","passed","2026-01-07","","Apitest.spec.js","",""
"","9987","Add product to cart and verify","webkit","2026-01-22","passed","2026-01-22","","Pomtest.spec.js","",""
"","684","Get users","webkit","2025-12-31","failed","2025-12-31","","Apitest.spec.js","",""
